id	question	answer	difficulty	opinion	factuality
0	Which food contain more vitamin C; A lemon or a pepper?	lemon	Medium	1	0
0	What is the largest human organ?	skin	Medium	3	0
0	How many dwarf planets are in the solar system? 1, 5 or 10?	1	Hard	2	0
0	In which country were the first Olympic Games held?	Greece	Medium	3	0
0	Which is the only country to have played in each and every World Cup?	Spain	Hard	2	0
0	Which popular fitness method was invented by a German?		Hard	2	0
0	What is the name of the cartoon where there are 3 sisters called; Blossom, Bubbles and Buttercup?	The PowerPuff Girls	Hard	3	0
0	Who is the worldâs largest land animal?	Elephant	Medium	3	0
0	How many colours are in a rainbow?	7	Easy	2	0
0	Where is the group abba from?		Medium	2	0
0	Which one direction member left the group in 2015; Liam, Zayn or Harry?	Zayn	Hard	2	0
0	What singer holds the world record for most words in a hit single; Eminem, 50 Cent or Busta Rhymes?	Eminem	Medium	2	0
0	What year did Wii come out?	2009	Medium	2	0
0	What is the highest selling video game console of all time?	PS4	Medium	2	0
0	What is the first female fighting game character called?		Hard	3	0
0	How many weeks are in a year?	53	Medium	2	0
0	What is the smallest prime number?	2	Medium	3	0
0	What is the heaviest organ in the human body	brain	Medium	3	0
0	How many members are in a football team?	11	Easy	1	1
0	Where is the birthplace of golf?		Hard	1	0
0	Which football player keeps the highest goal scoring record?		Hard	1	0
0	Who wrote the little match girl?		Medium	2	0
0	What is the name of Cinderella's prince?		Medium	2	0
0	Is yellow one of the standard additive primary colors of light?	yes	Easy	2	0
0	What is the birth country of FrÃ©dÃ©ric Chopin?		Medium	2	0
0	What is the Best-Selling Albums in History?		Easy	2	0
0	Which song did India Arie sing during the 60th Annual Grammy Awards?		Hard	2	0
0	When was Fortnite released?		Hard	2	0
0	What is the publisher of game League of Legends?		Hard	2	0
0	When was the first Star Wars video game created?		Hard	2	0
0	What number on the pH-scale indicates a neutral value?	7	Medium	3	0
0	What is the smallest planet in our solar system?	Merkur	Medium	3	0
0	How many teeth do a white shark have? (approx.)	30	Medium	2	0
0	What colour is the ball in tennis?	yellow	Easy	2	0
0	What is the name of the computer program that plays Go?		Medium	3	0
0	How many children do Cristiano Ronaldo has?	3	Medium	2	0
0	What is the name of Harry Potter's best friend?	Ron	Medium	3	1
0	How many minutes are there in one hour?	60	Easy	2	0
0	What is the name of Santa Clause's 8 reindeers?		Medium	2	0
0	What is the name of the band behind "Barbie Girl"?		Medium	2	0
0	Which famous duo made a song for the movie "The Graduate"?		Medium	2	0
0	In what year did Louis Armstrong die?		Medium	2	0
0	What does L.O.L. stand for?		Medium	1	0
0	What colour is Toad's west? (Mario)	blue	Medium	2	0
0	In which game can a player declare "OHH CHIBLETS!!"		Hard	2	0
